alpha_s,c_ratio,c_ref,c_sat,central_log10N_median_selected,central_log10N_min_selected,chi2_density,chi2_total,chi2_wp,chi2_xi0,chi2_xi2,concentration_ratio,f_sat_actual,f_sat_target,model,model_number_density_h3_mpc3,n_allowed_sat_candidates,n_cen_target,n_gal,n_sat,n_sat_target,observed_number_density_h3_mpc3,particle_mass_hinv_msun,sat_r_over_r200m_median,sat_radius_scale_median,sat_radius_scale_p16,sat_radius_scale_p84,satellite_log10N_median_selected,satellite_power,sigma_logm,status,traceback
1.1,1.3,5.0,6.5,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,886.746803705402,665.4679757996096,80.30174644008812,140.97708146570412,1.3,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,0.9237914068835963,0.8805054219442666,0.9633943214795246,4.594503043820089,1.0,0.25,ok,
0.7,1.0,5.0,5.0,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,899.6531506768936,715.2529514295225,77.06116508689261,107.33903416047826,1.0,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,1.0000000003681921,0.9999999992392531,1.000000000756414,4.594503043820089,1.0,0.25,ok,
1.3,1.0,5.0,5.0,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,918.9449891183857,715.2285737750886,80.77405149703306,122.94236384626377,1.0,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,1.0000000003681921,0.9999999992392531,1.000000000756414,4.594503043820089,1.0,0.25,ok,
1.1,1.0,5.0,5.0,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,936.4793091876311,715.2577259361219,80.30752791079802,140.91405534071097,1.0,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,1.0000000003681921,0.9999999992392531,1.000000000756414,4.594503043820089,1.0,0.25,ok,
0.7,0.7,5.0,3.5,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,961.4758513024785,777.2202084007225,77.07281288138175,107.182830020374,0.7,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,1.1021987628358239,1.0463975959686946,1.171667454033662,4.594503043820089,1.0,0.25,ok,
1.3,0.7,5.0,3.5,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,980.6416942203432,777.1920145646708,80.78253671705282,122.66714293861939,0.7,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,1.1021987628358239,1.0463975959686946,1.171667454033662,4.594503043820089,1.0,0.25,ok,
1.1,0.7,5.0,3.5,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,998.1969836354656,777.2101904876471,80.3170338072195,140.66975934059883,0.7,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,1.1021987628358239,1.0463975959686946,1.171667454033662,4.594503043820089,1.0,0.25,ok,
0.7,0.5,5.0,2.5,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,1012.1334758979197,827.7645806115834,77.08620761016297,107.28268767617305,0.5,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,1.1943280990357854,1.0858291788333683,1.3382312287355802,4.594503043820089,1.0,0.25,ok,
1.3,0.5,5.0,2.5,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,1031.1987285154637,827.7518461241557,80.78619620963129,122.66068618167644,0.5,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,1.1943280990357854,1.0858291788333683,1.3382312287355802,4.594503043820089,1.0,0.25,ok,
1.1,0.5,5.0,2.5,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,1048.5993298847216,827.769672640695,80.31972681827699,140.5099304257493,0.5,0.08000000940576273,0.08,minimal_hod_nfw_profile,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2100000000.0,0.4092058793384299,1.1943280990357854,1.0858291788333683,1.3382312287355802,4.594503043820089,1.0,0.25,ok,
