label,split,covariance_mode,f_sat_target,alpha_s,concentration_ratio,c_sat,f_sat_actual,chi2,hartlap_scale
minimal_hod_nfw_profile,xi02,diagonal,0.06,1.1,1.3,6.5,0.06000006584033906,908.2476579216175,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.06,1.3,1.3,6.5,0.06000006584033906,898.9160785029103,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.06,0.7,1.3,6.5,0.06000006584033906,1054.4666134234294,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.06,1.1,1.0,5.0,0.06000006584033906,908.2646791130566,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.06,1.3,1.0,5.0,0.06000006584033906,898.8679141417871,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.06,0.7,1.0,5.0,0.06000006584033906,1054.4153866712363,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.06,1.1,0.7,3.5,0.06000006584033906,908.3547270173997,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.06,1.3,0.7,3.5,0.06000006584033906,899.1547720188075,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.06,0.7,0.7,3.5,0.06000006584033906,1054.4685985305048,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.06,1.1,0.5,2.5,0.06000006584033906,908.2283068492366,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.06,1.3,0.5,2.5,0.06000006584033906,899.153858457087,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.06,0.7,0.5,2.5,0.06000006584033906,1054.7204792223365,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.06,1.1,0.35,1.75,0.06000006584033906,908.3883440766613,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.06,1.3,0.35,1.75,0.06000006584033906,899.0074867914041,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.06,0.7,0.35,1.75,0.06000006584033906,1054.9001696115731,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.08,0.7,1.3,6.5,0.08000000940576273,1639.8780663129312,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.08,1.3,1.3,6.5,0.08000000940576273,1518.548002929503,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.08,1.1,1.3,6.5,0.08000000940576273,1551.9209612345742,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.08,0.7,1.0,5.0,0.08000000940576273,1639.9477701084434,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.08,1.3,1.0,5.0,0.08000000940576273,1518.4500899349084,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.08,1.1,1.0,5.0,0.08000000940576273,1552.045570603995,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.08,0.7,0.7,3.5,0.08000000940576273,1640.1288681117935,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.08,1.3,0.7,3.5,0.08000000940576273,1518.5015248818383,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.08,1.1,0.7,3.5,0.08000000940576273,1551.9658787708152,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.08,0.7,0.5,2.5,0.08000000940576273,1640.599561614566,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.08,1.3,0.5,2.5,0.08000000940576273,1518.5449957026224,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.08,1.1,0.5,2.5,0.08000000940576273,1551.7033308126558,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.08,0.7,0.35,1.75,0.08000000940576273,1640.6623568171906,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.08,1.3,0.35,1.75,0.08000000940576273,1518.2052655930308,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.08,1.1,0.35,1.75,0.08000000940576273,1551.5207892038345,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.1,0.7,1.3,6.5,0.09999995297118638,2908.8083623752736,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.1,1.3,1.3,6.5,0.09999995297118638,2856.0702369444507,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.1,0.7,1.0,5.0,0.09999995297118638,2909.083258913131,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.1,1.1,1.3,6.5,0.09999995297118638,2942.6257778662466,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.1,1.3,1.0,5.0,0.09999995297118638,2855.7956459328907,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.1,0.7,0.7,3.5,0.09999995297118638,2909.467627617038,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.1,1.1,1.0,5.0,0.09999995297118638,2942.708912067497,0.4
minimal_hod_nfw_profile,xi02,diagonal,0.1,1.3,0.7,3.5,0.09999995297118638,2855.3926533922227,0.4
