alpha_s,central_log10N_median_selected,central_log10N_min_selected,chi2_density,chi2_total,chi2_wp,chi2_xi0,chi2_xi2,f_sat_actual,f_sat_target,model,model_number_density_h3_mpc3,n_allowed_sat_candidates,n_cen_target,n_gal,n_sat,n_sat_target,observed_number_density_h3_mpc3,radial_scale,satellite_log10N_median_selected,satellite_power,sigma_logm,status,traceback
1.3,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,451.77942820779265,296.26709810079205,81.61158769415917,73.90074241284125,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,4.0,4.594503043820089,1.0,0.25,ok,
1.1,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,458.2478045041066,296.1938187609299,81.33603611465503,80.71794962852152,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,4.0,4.594503043820089,1.0,0.25,ok,
0.7,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,579.493950905148,418.0474923567122,77.94144760704015,83.5050109413955,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,3.0,4.594503043820089,1.0,0.25,ok,
1.3,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,596.5877587354805,418.20493181433443,81.20848642918847,97.17434049195737,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,3.0,4.594503043820089,1.0,0.25,ok,
1.1,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,609.3921914861394,418.16024163806685,80.84448016884403,110.38746967922826,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,3.0,4.594503043820089,1.0,0.25,ok,
0.7,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,803.5259915591822,625.5539756370022,77.37270521717946,100.59931070500038,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2.0,4.594503043820089,1.0,0.25,ok,
1.3,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,821.1694942344683,625.7888784077186,80.93651894891597,114.44409687783349,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2.0,4.594503043820089,1.0,0.25,ok,
1.1,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,837.3640498030627,625.6717614656072,80.50594876803373,131.1863395694215,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,2.0,4.594503043820089,1.0,0.25,ok,
0.7,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,899.6570634302248,715.2568641832157,77.0611650868125,107.33903416019626,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,1.0,4.594503043820089,1.0,0.25,ok,
1.3,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,918.948901262294,715.2324859192056,80.77405149698208,122.94236384610613,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,1.0,4.594503043820089,1.0,0.25,ok,
0.7,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,928.8334196875173,746.4026662762979,77.18810724932075,105.24264616189855,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,1.5,4.594503043820089,1.0,0.25,ok,
1.1,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,936.4832217637622,715.2616385120984,80.30752791074197,140.91405534092164,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,1.0,4.594503043820089,1.0,0.25,ok,
0.7,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,942.7090422198162,498.91952730308094,129.29001235279574,314.4995025639393,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,4.0,4.592265606512769,1.0,0.25,ok,
1.3,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,947.2425984652148,746.5058242936178,80.83121365135409,119.90556052024256,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,1.5,4.594503043820089,1.0,0.25,ok,
1.1,3.668012971641832,3.4122925093230463,1.7813602962219925e-13,964.6507898790711,746.5042566834608,80.38836161239593,137.75817158321422,0.08000000940576273,0.08,minimal_hod,0.000531589,800000.0,3912495.0,4252712,340217,340217.0,0.0005315890336544999,1.5,4.594503043820089,1.0,0.25,ok,
1.3,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,994.6932386690912,499.19973207878616,132.8127203188853,362.6807862714195,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,4.0,4.592265606512769,1.0,0.25,ok,
1.1,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,1034.4415939708967,499.10996753116876,132.7386970572268,402.5929293825009,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,4.0,4.592265606512769,1.0,0.25,ok,
0.7,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,1251.4479383319215,720.4214418692227,127.59582479390315,403.4306716687953,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,3.0,4.592265606512769,1.0,0.25,ok,
1.3,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,1297.0133108120847,720.736696702368,132.03261032539277,444.24400378432364,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,3.0,4.592265606512769,1.0,0.25,ok,
1.1,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,1351.66194087472,720.6867995139891,131.78352483845242,499.191616522278,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,3.0,4.592265606512769,1.0,0.25,ok,
0.7,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,1692.864421092793,1108.4203954379714,126.50028819646603,457.9437374583553,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,2.0,4.592265606512769,1.0,0.25,ok,
1.3,3.674125982742708,3.4122925093230463,1.7813602962219925e-13,1740.3144557924234,1108.9551887015336,131.51748097927356,499.84178611161593,0.09999995297118638,0.1,minimal_hod,0.000531589,800000.0,3827441.0,4252712,425271,425271.0,0.0005315890336544999,2.0,4.592265606512769,1.0,0.25,ok,
