label,split,covariance_mode,hartlap_scale,f_sat_target,alpha_s,radial_scale,f_sat_actual,chi2,source_chi2_total,source_chi2_wp,source_chi2_xi0,source_chi2_xi2
sham_profile,joint,diagonal,0.23157894736842105,0.08,1.1,3.0,0.08000000940576273,5812.273955344162,1559.9211874162413,841.8827045624724,135.0259391068244,583.0125437469443
sham_profile,joint,diagonal,0.23157894736842105,0.08,0.7,3.0,0.08000000940576273,5940.006091291136,1632.2185749993757,841.8459019633044,132.06487229622323,658.3078007398477
sham_profile,joint,diagonal,0.23157894736842105,0.08,1.1,1.0,0.08000000940576273,6168.8684797085125,2877.7834439075486,2019.0217639847506,133.72802036746916,725.0336595553287
sham_profile,joint,diagonal,0.23157894736842105,0.08,0.7,1.0,0.08000000940576273,6278.932813579923,2962.7289040311516,2018.6943322107788,129.78500204336194,814.2495697770107
sham_profile,joint,diagonal,0.23157894736842105,0.08,1.1,2.0,0.08000000940576273,6879.112426868108,2215.3999649735074,1400.932145207928,134.18487916694627,680.282940598633
sham_profile,joint,diagonal,0.23157894736842105,0.08,0.7,2.0,0.08000000940576273,6996.800224920557,2299.642072499929,1400.8123870457534,130.560042562121,768.2696428920544
sham_profile,joint,diagonal,0.23157894736842105,0.08,1.1,1.5,0.08000000940576273,7033.265142690032,2667.034091055484,1822.6515386055955,133.91179904787126,710.4707534020172
sham_profile,joint,diagonal,0.23157894736842105,0.08,0.7,1.5,0.08000000940576273,7146.875451181069,2751.929509976811,1822.4461242084392,130.090849922573,799.3925358457988
sham_profile,joint,diagonal,0.23157894736842105,0.12,1.1,4.0,0.11999989653661006,11093.461487710309,3408.1452018203936,1183.5558476410235,271.9101166112859,1952.6792375680845
sham_profile,joint,diagonal,0.23157894736842105,0.12,0.7,4.0,0.11999989653661006,11181.380263469093,3392.3408083743343,1183.6020630788087,268.17429381612806,1940.5644514793976
sham_profile,joint,diagonal,0.23157894736842105,0.12,0.7,1.0,0.11999989653661006,13206.61465720823,7052.810442117338,4034.3839674847295,258.19663951479845,2760.2298351178106
sham_profile,joint,diagonal,0.23157894736842105,0.12,1.1,1.0,0.11999989653661006,13233.220687608966,7049.8668244778355,4034.916350764039,266.2900495479956,2748.6604241658006
