label,split,covariance_mode,hartlap_scale,f_sat_target,alpha_s,radial_scale,f_sat_actual,chi2,source_chi2_total,source_chi2_wp,source_chi2_xi0,source_chi2_xi2
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.08,1.3,1.5,0.08000000940576273,2858.0478809078163,947.2425984652148,746.5058242936178,80.83121365135409,119.90556052024256
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.08,1.1,1.5,0.08000000940576273,2877.4617727722084,964.6507898790711,746.5042566834608,80.38836161239593,137.75817158321422
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.08,1.3,2.0,0.08000000940576273,2901.6201108514883,821.1694942344683,625.7888784077186,80.93651894891597,114.44409687783349
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.08,1.1,2.0,0.08000000940576273,2920.387412104937,837.3640498030627,625.6717614656072,80.50594876803373,131.1863395694215
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.08,0.7,1.5,0.08000000940576273,2929.582889297794,928.8334196875173,746.4026662762979,77.18810724932075,105.24264616189855
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.08,0.7,2.0,0.08000000940576273,2974.913811855946,803.5259915591822,625.5539756370022,77.37270521717946,100.59931070500038
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.1,1.3,4.0,0.09999995297118638,4132.391902927633,994.6932386690912,499.19973207878616,132.8127203188853,362.6807862714195
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.1,1.1,4.0,0.09999995297118638,4176.5946259795965,1034.4415939708967,499.10996753116876,132.7386970572268,402.5929293825009
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.1,0.7,4.0,0.09999995297118638,4209.889071349091,942.7090422198162,498.91952730308094,129.29001235279574,314.4995025639393
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.1,1.3,1.0,0.09999995297118638,4443.412316937075,1955.2706684193754,1298.7600028227787,131.20420143025717,525.3064641663393
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.1,0.7,1.0,0.09999995297118638,4473.224817132044,1902.9234297885134,1298.6169042861177,125.88657227855906,478.4199532238365
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.1,1.1,1.0,0.09999995297118638,4493.233548035634,2021.2872772883643,1298.7147262815245,130.7418874653582,591.8306635414814
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.1,1.3,3.0,0.09999995297118638,4801.67673238331,1297.0133108120847,720.736696702368,132.03261032539277,444.24400378432364
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.1,1.1,3.0,0.09999995297118638,4849.433896705763,1351.66194087472,720.6867995139891,131.78352483845242,499.191616522278
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.1,0.7,3.0,0.09999995297118638,4857.501568137808,1251.4479383319215,720.4214418692227,127.59582479390315,403.4306716687953
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.1,1.3,1.5,0.09999995297118638,5254.052053369862,1992.3865380461928,1344.5751691365194,131.3231446445954,516.4882242650776
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.1,0.7,1.5,0.09999995297118638,5288.071035992522,1942.4467196028238,1344.1874351011518,126.13930860450573,472.11997589716617
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.1,1.1,1.5,0.09999995297118638,5304.387324370096,2058.2292467121106,1344.477960209381,130.89862537642378,582.8526611263055
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.1,1.3,2.0,0.09999995297118638,5339.551717573793,1740.3144557924234,1108.9551887015336,131.51748097927356,499.84178611161593
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.1,0.7,2.0,0.09999995297118638,5378.850067947773,1692.864421092793,1108.4203954379714,126.50028819646603,457.9437374583553
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.1,1.1,2.0,0.09999995297118638,5388.871689003249,1803.4982376287314,1108.7162542453962,131.13129064902,563.650692734315
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.12,1.3,4.0,0.11999989653661006,6962.851601006824,1946.9301321718451,790.2920329907654,199.429918848575,957.2081803325045
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.12,0.7,4.0,0.11999989653661006,7014.990643846231,1869.939115691909,790.0769880766666,195.11701526774738,884.7451123474947
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.12,1.1,4.0,0.11999989653661006,7053.478625179881,2049.1432552801853,790.1446179582026,199.69716651065434,1059.301470811328
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.12,0.7,1.0,0.11999989653661006,7508.065239802608,3606.805267902379,2172.8083246783494,189.36018426126904,1244.6367589627605
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.12,1.3,1.0,0.11999989653661006,7538.493922510821,3677.1347422270424,2173.0432749744386,196.74937023553943,1307.3420970170644
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.12,1.1,1.0,0.11999989653661006,7640.446601707467,3826.8326967342146,2173.036393403524,196.3200662300224,1457.476237100668
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.12,1.3,3.0,0.11999989653661006,8148.891379765003,2495.79970326833,1160.9893557652342,198.12181784620728,1136.6885296568887
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.12,0.7,3.0,0.11999989653661006,8166.421076984561,2437.2334633847577,1160.6420907902016,192.21559460039137,1084.3757779941645
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.12,1.1,3.0,0.11999989653661006,8247.12030260218,2625.1933237395697,1160.8900938628128,198.06415646181316,1266.2390734149435
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.12,0.7,1.5,0.11999989653661006,8928.32472185172,3661.8719287754175,2240.958675474941,189.7690461809633,1231.144207119513
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.12,1.3,1.5,0.11999989653661006,8951.09095185584,3727.873355194457,2241.5212843738836,196.94970182579442,1289.402368994779
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.12,1.1,1.5,0.11999989653661006,9054.9973406776,3878.551631113157,2241.355690503761,196.58743816587824,1440.6085024435179
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.12,0.7,2.0,0.11999989653661006,9086.699709819595,3217.832750774701,1826.1653434229981,190.3618747663987,1201.3055325853043
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.12,1.3,2.0,0.11999989653661006,9099.221180309962,3279.1414132071814,1826.8437395493631,197.26072642668925,1255.036947231129
minimal_hod_profile,joint,diagonal,0.23157894736842105,0.12,1.1,2.0,0.11999989653661006,9200.656931698411,3424.1192795570214,1826.4851670112257,196.96980611305025,1400.6643064327454
minimal_hod_profile,joint,full,0.23157894736842105,0.04,0.7,4.0,0.03999988713084733,930.4835472693671,277.8655712753845,78.10002851575892,19.670368785130247,180.0951739744952
minimal_hod_profile,joint,full,0.23157894736842105,0.04,0.7,1.0,0.03999988713084733,944.7319459684788,326.2182973999459,151.72928620353426,19.444043890477065,155.0449673059344
minimal_hod_profile,joint,full,0.23157894736842105,0.04,0.7,3.0,0.03999988713084733,974.0786929529675,287.6002110044271,101.93459444667118,19.56013729377934,166.10547926397638
minimal_hod_profile,joint,full,0.23157894736842105,0.04,0.7,1.5,0.03999988713084733,975.0100528096071,334.5719490359085,159.1991984381953,19.460675663135344,155.91207493457767
minimal_hod_profile,joint,full,0.23157894736842105,0.04,0.7,2.0,0.03999988713084733,988.6410424735423,316.8836785352472,139.59775903737716,19.493535212601145,157.79238428526872
minimal_hod_profile,joint,full,0.23157894736842105,0.04,1.1,4.0,0.03999988713084733,1006.0212007477465,236.57110402821513,78.14279190551026,20.732783704158297,137.69552841854642
minimal_hod_profile,joint,full,0.23157894736842105,0.04,1.1,1.0,0.03999988713084733,1009.3172988132633,282.60774684817244,151.74552731191378,20.5967819781079,110.26543755815055
minimal_hod_profile,joint,full,0.23157894736842105,0.06,0.7,4.0,0.06000006584033906,1021.3970347532515,242.5159956205112,161.90687152240466,42.952525770052254,37.65659832805411
minimal_hod_profile,joint,full,0.23157894736842105,0.04,1.1,1.5,0.03999988713084733,1034.9190206800938,291.3332834775925,159.24530154256877,20.607997164470525,111.479984770553
minimal_hod_profile,joint,full,0.23157894736842105,0.04,1.1,3.0,0.03999988713084733,1041.5214169578455,245.41953359890437,101.9823523858801,20.667646121439486,122.76953509158461
minimal_hod_profile,joint,full,0.23157894736842105,0.04,1.1,2.0,0.03999988713084733,1048.8239665730555,274.18774799870806,139.6506215119966,20.62161619907519,113.91551028763614
minimal_hod_profile,joint,full,0.23157894736842105,0.06,0.7,1.0,0.06000006584033906,1057.7090041424424,428.4364002829844,356.80260038206353,42.1776484758587,29.456151425061975
minimal_hod_profile,joint,full,0.23157894736842105,0.04,1.3,4.0,0.03999988713084733,1068.0269732360882,243.80064281774256,78.155700023349,21.03417993122393,144.61076286316947
minimal_hod_profile,joint,full,0.23157894736842105,0.04,1.3,1.0,0.03999988713084733,1069.4000554189547,289.8865017946044,151.73921522000364,20.91662068579321,117.23066588880737
minimal_hod_profile,joint,full,0.23157894736842105,0.04,1.3,1.5,0.03999988713084733,1095.3578495943475,298.8851235462573,159.24190660683996,20.92644190623085,118.71677503318634
minimal_hod_profile,joint,full,0.23157894736842105,0.04,1.3,3.0,0.03999988713084733,1104.6688023728536,253.07721730311545,101.98395264669905,20.981109996838857,130.11215465957736
minimal_hod_profile,joint,full,0.23157894736842105,0.04,1.3,2.0,0.03999988713084733,1110.9196480680748,282.05855265447013,139.6712709675923,20.94153787054347,121.44574381633417
minimal_hod_profile,joint,full,0.23157894736842105,0.06,0.7,1.5,0.06000006584033906,1124.753064686372,446.18521631264935,374.34427630000476,42.233537773767935,29.607402238876485
minimal_hod_profile,joint,full,0.23157894736842105,0.06,0.7,3.0,0.06000006584033906,1142.1718989323883,296.206252682057,221.61302400032608,42.57052382995456,32.02270485177625
minimal_hod_profile,joint,full,0.23157894736842105,0.06,1.1,4.0,0.06000006584033906,1161.1124836249687,222.34817637204787,161.9460481675514,44.68515135949662,15.716976844999687
minimal_hod_profile,joint,full,0.23157894736842105,0.06,1.1,1.0,0.06000006584033906,1177.3203725543601,411.03666900167894,356.8063741463949,44.22674457301104,10.003550282272862
minimal_hod_profile,joint,full,0.23157894736842105,0.06,0.7,2.0,0.06000006584033906,1179.477765279866,391.4046471625948,319.1099505998087,42.32494595043209,29.96975061235382
minimal_hod_profile,joint,full,0.23157894736842105,0.06,1.1,1.5,0.06000006584033906,1229.3165128010444,428.7103198302685,374.39042662367683,44.26435890366535,10.0555343029261
minimal_hod_profile,joint,full,0.23157894736842105,0.06,1.1,3.0,0.06000006584033906,1265.9778101689647,277.5638640578875,221.68850359160848,44.466637249526876,11.408723216751973
minimal_hod_profile,joint,full,0.23157894736842105,0.06,1.3,4.0,0.06000006584033906,1267.1919196550928,229.12469905219868,161.98809781665935,45.03241921382673,22.10418202171244
minimal_hod_profile,joint,full,0.23157894736842105,0.06,1.3,1.0,0.06000006584033906,1273.9615202699429,414.41855594965034,356.78472221561356,44.65041060786593,12.983423126170704
minimal_hod_profile,joint,full,0.23157894736842105,0.06,1.1,2.0,0.06000006584033906,1284.148736535805,373.69104801389443,319.1635665166416,44.31629695508979,10.211184542162872
minimal_hod_profile,joint,full,0.23157894736842105,0.08,0.7,4.0,0.08000000940576273,1318.7082708155544,433.2095440688839,296.09349025499415,78.81556566409965,58.300488149789906
