label,split,covariance_mode,hartlap_scale,f_sat_target,alpha_s,f_sat_actual,chi2,source_chi2_total,source_chi2_wp,source_chi2_xi0,source_chi2_xi2
sham_extended,joint,full,0.23157894736842105,0.15,1.1,0.15000004702881362,8409.094150374078,11354.828147685274,5885.23613482528,386.9202628076887,5082.6717500523055
sham_extended,joint,full,0.23157894736842105,0.15,1.3,0.15000004702881362,8748.37601263159,10766.281111131075,5885.416254076639,386.33307772291505,4494.531779331521
sham_extended,wp,diagonal,0.8210526315789474,0.02,1.3,0.019999943565423665,1646.955540953993,425.69915694170965,214.36421403002237,16.04153651635965,195.29340639532745
sham_extended,wp,diagonal,0.8210526315789474,0.02,1.1,0.019999943565423665,1647.0905039228487,399.4153556579411,214.39943809758617,15.865902519005253,169.15001504134952
sham_extended,wp,diagonal,0.8210526315789474,0.02,0.5,0.019999943565423665,1647.1755736793134,406.1894255678455,214.434991990485,14.446596437845503,177.3078371395148
sham_extended,wp,diagonal,0.8210526315789474,0.02,0.9,0.019999943565423665,1647.215010209312,378.2204449092233,214.41445659200062,15.584390440527448,148.22159787669509
sham_extended,wp,diagonal,0.8210526315789474,0.02,0.7,0.019999943565423665,1647.2200549686772,372.35991470689754,214.41907276513908,15.170001411881145,142.77084052987712
sham_extended,wp,diagonal,0.8210526315789474,0.04,1.3,0.03999988713084733,4894.366244654222,690.6326994081277,631.498813187938,42.634865280093045,16.49902094009638
sham_extended,wp,diagonal,0.8210526315789474,0.04,0.9,0.03999988713084733,4894.450486679842,687.251854756998,631.5446153185007,41.96866075188178,13.73857868661522
sham_extended,wp,diagonal,0.8210526315789474,0.04,0.7,0.03999988713084733,4894.49269213745,695.4796968529492,631.5217361675935,40.99240723397507,22.965553451380366
sham_extended,wp,diagonal,0.8210526315789474,0.04,1.1,0.03999988713084733,4894.674263222536,685.1939443802279,631.5632687278395,42.46515796681135,11.165517685576845
sham_extended,wp,diagonal,0.8210526315789474,0.04,0.5,0.03999988713084733,4895.294429066263,714.4643214091737,631.6209400397576,38.99177201242127,43.851609356994686
sham_extended,wp,diagonal,0.8210526315789474,0.06,0.9,0.06000006584033906,9500.771037043702,1573.4124102833478,1242.300430895068,81.73490468031308,249.3770747079664
sham_extended,wp,diagonal,0.8210526315789474,0.06,1.3,0.06000006584033906,9501.144111437461,1473.5718471371745,1242.2163126397159,82.51914315836929,148.83639133908898
sham_extended,wp,diagonal,0.8210526315789474,0.06,0.7,0.06000006584033906,9501.277693030232,1583.3874884944487,1242.3758490277773,79.97625241743026,261.0353870492409
sham_extended,wp,diagonal,0.8210526315789474,0.06,1.1,0.06000006584033906,9501.555715501998,1524.6351032984933,1242.3883378574849,82.45795335894823,199.78881208205985
sham_extended,wp,diagonal,0.8210526315789474,0.06,0.5,0.06000006584033906,9502.31493108214,1483.6113795872996,1242.4822254754147,76.02584701354253,165.10330709834207
sham_extended,wp,diagonal,0.8210526315789474,0.08,0.7,0.08000000940576273,15215.271445350723,2962.728904031152,2018.6943322107788,129.78500204336189,814.2495697770113
sham_extended,wp,diagonal,0.8210526315789474,0.08,0.5,0.08000000940576273,15215.553607828784,2625.8640014913894,2018.7850391218212,123.10133822495581,483.97762414461226
