label,split,covariance_mode,hartlap_scale,f_sat_target,alpha_s,f_sat_actual,chi2,source_chi2_total,source_chi2_wp,source_chi2_xi0,source_chi2_xi2
minimal_hod,joint,diagonal,0.23157894736842105,0.1,0.7,0.09999995297118638,4473.224817132044,1902.9234297885134,1298.6169042861177,125.88657227855903,478.4199532238365
minimal_hod,joint,diagonal,0.23157894736842105,0.1,1.1,0.09999995297118638,4493.233548035633,2021.2872772883643,1298.7147262815245,130.74188746535822,591.8306635414814
minimal_hod,joint,diagonal,0.23157894736842105,0.1,0.9,0.09999995297118638,4515.411316918864,2028.4904777024572,1298.738973643999,129.21431729337587,600.537186765082
minimal_hod,joint,diagonal,0.23157894736842105,0.12,0.5,0.11999989653661006,7084.577689661291,2920.8173167750147,2172.7806362000233,179.3243570383918,568.7123235365997
minimal_hod,joint,diagonal,0.23157894736842105,0.12,0.7,0.11999989653661006,7508.065239802609,3606.80526790238,2172.8083246783503,189.36018426126896,1244.6367589627605
minimal_hod,joint,diagonal,0.23157894736842105,0.12,1.3,0.11999989653661006,7538.493922510822,3677.134742227042,2173.043274974438,196.74937023553952,1307.3420970170644
minimal_hod,joint,diagonal,0.23157894736842105,0.12,1.1,0.11999989653661006,7640.446601707467,3826.8326967342146,2173.036393403524,196.32006623002252,1457.476237100668
minimal_hod,joint,diagonal,0.23157894736842105,0.12,0.9,0.11999989653661006,7665.975392699317,3863.16894497902,2173.0072708417324,194.27710818634685,1495.8845659509407
minimal_hod,joint,diagonal,0.23157894736842105,0.15,0.5,0.15000004702881362,13344.694650972184,6231.511252535964,4209.100000489426,292.32018479723433,1730.0910672493037
minimal_hod,joint,diagonal,0.23157894736842105,0.15,0.7,0.15000004702881362,14557.720936949767,7893.432688351141,4208.940285995633,310.09902189519914,3374.3933804603093
minimal_hod,joint,diagonal,0.23157894736842105,0.15,1.3,0.15000004702881362,14694.948587446213,7913.545499381219,4209.460907239838,321.16167419203964,3382.9229179493414
minimal_hod,joint,diagonal,0.23157894736842105,0.15,1.1,0.15000004702881362,14942.716593318484,8291.598918137062,4209.361834868444,321.083716660446,3761.1533666081727
minimal_hod,joint,diagonal,0.23157894736842105,0.15,0.9,0.15000004702881362,14987.159306602884,8425.206967993297,4209.195617207397,318.17042915416965,3897.8409216317314
minimal_hod,joint,full,0.23157894736842105,0.04,0.7,0.03999988713084733,944.7319459684787,326.218297399946,151.72928620353431,19.444043890477104,155.0449673059344
minimal_hod,joint,full,0.23157894736842105,0.04,0.9,0.03999988713084733,960.987980704325,289.3515533438637,151.73952401812588,20.136168931380656,117.47586039435703
minimal_hod,joint,full,0.23157894736842105,0.02,0.7,0.019999943565423665,981.5080572223245,460.3831277191796,52.48082215098968,8.771668471797936,399.1306370963918
minimal_hod,joint,full,0.23157894736842105,0.02,0.9,0.019999943565423665,986.4931466423643,430.78984135791757,52.48018869454904,9.054190407585812,369.25546225578256
minimal_hod,joint,full,0.23157894736842105,0.02,1.1,0.019999943565423665,1007.1356390134447,423.3077034026024,52.485959037652876,9.274372210572622,361.5473721543767
minimal_hod,joint,full,0.23157894736842105,0.04,1.1,0.03999988713084733,1009.3172988132638,282.6077468481724,151.74552731191378,20.596781978107906,110.26543755815052
minimal_hod,joint,full,0.23157894736842105,0.02,0.5,0.019999943565423665,1024.4737594846238,533.7179981250782,52.48118748048155,8.484936396320535,472.7518742482759
minimal_hod,joint,full,0.23157894736842105,0.04,0.5,0.03999988713084733,1026.314356707648,433.6972754366071,151.7283143631526,18.52624813344246,263.44271294001186
minimal_hod,joint,full,0.23157894736842105,0.02,1.3,0.019999943565423665,1033.310787704044,426.18673274433723,52.48602359970516,9.447369221501598,364.2533399231303
minimal_hod,joint,full,0.23157894736842105,0.06,0.7,0.06000006584033906,1057.7090041424417,428.4364002829844,356.80260038206353,42.17764847585873,29.456151425061982
minimal_hod,joint,full,0.23157894736842105,0.04,1.3,0.03999988713084733,1069.400055418955,289.8865017946044,151.73921522000364,20.916620685793184,117.23066588880737
minimal_hod,joint,full,0.23157894736842105,0.06,0.9,0.06000006584033906,1094.3550094058012,413.0073315872059,356.8356195913072,43.4691674022949,12.702544593603617
minimal_hod,joint,full,0.23157894736842105,0.06,0.5,0.06000006584033906,1170.8079976047875,505.0313536170053,356.79221116792286,40.14801027460502,108.09113217447728
minimal_hod,joint,full,0.23157894736842105,0.06,1.1,0.06000006584033906,1177.3203725543603,411.03666900167894,356.80637414639494,44.22674457301097,10.00355028227286
minimal_hod,joint,full,0.23157894736842105,0.06,1.3,0.06000006584033906,1273.9615202699426,414.41855594965034,356.78472221561356,44.65041060786593,12.983423126170702
minimal_hod,joint,full,0.23157894736842105,0.08,0.7,0.08000000940576273,1387.361543629388,899.6570634302248,715.2568641832157,77.06116508681247,107.33903416019626
minimal_hod,joint,full,0.23157894736842105,0.08,0.9,0.08000000940576273,1452.2974140672065,936.4403529351816,715.3019402549353,79.1975253527288,141.94088732751726
minimal_hod,joint,full,0.23157894736842105,0.08,0.5,0.08000000940576273,1522.3463868278352,854.649332652626,715.1813451183149,73.27632984504062,66.19165768927023
minimal_hod,joint,full,0.23157894736842105,0.08,1.1,0.08000000940576273,1574.1179060812326,936.4832217637625,715.2616385120989,80.30752791074187,140.91405534092144
minimal_hod,joint,full,0.23157894736842105,0.08,1.3,0.08000000940576273,1710.004142119725,918.948901262294,715.2324859192057,80.77405149698198,122.94236384610613
minimal_hod,joint,full,0.23157894736842105,0.1,0.7,0.09999995297118638,2044.9513454296555,1902.9234297885134,1298.6169042861177,125.88657227855903,478.4199532238365
minimal_hod,joint,full,0.23157894736842105,0.1,0.9,0.09999995297118638,2146.1209673053336,2028.4904777024572,1298.738973643999,129.21431729337587,600.537186765082
minimal_hod,joint,full,0.23157894736842105,0.1,0.5,0.09999995297118638,2186.704394023311,1615.738088904691,1298.4902540262153,119.50257984439206,197.7452550340833
minimal_hod,joint,full,0.23157894736842105,0.1,1.1,0.09999995297118638,2311.585318959751,2021.2872772883643,1298.7147262815245,130.74188746535822,591.8306635414814
minimal_hod,joint,full,0.23157894736842105,0.1,1.3,0.09999995297118638,2492.503825548133,1955.2706684193756,1298.7600028227787,131.20420143025729,525.3064641663393
minimal_hod,joint,full,0.23157894736842105,0.12,0.7,0.11999989653661006,3112.576767594633,3606.80526790238,2172.8083246783503,189.36018426126896,1244.6367589627605
minimal_hod,joint,full,0.23157894736842105,0.12,0.5,0.11999989653661006,3237.7152872913266,2920.8173167750147,2172.7806362000233,179.3243570383918,568.7123235365997
minimal_hod,joint,full,0.23157894736842105,0.12,0.9,0.11999989653661006,3261.2019877835287,3863.16894497902,2173.0072708417324,194.27710818634685,1495.8845659509407
minimal_hod,joint,full,0.23157894736842105,0.12,1.1,0.11999989653661006,3474.7415832969314,3826.8326967342146,2173.036393403524,196.32006623002252,1457.476237100668
minimal_hod,joint,full,0.23157894736842105,0.12,1.3,0.11999989653661006,3699.4035212157364,3677.134742227042,2173.043274974438,196.74937023553952,1307.3420970170644
minimal_hod,joint,full,0.23157894736842105,0.15,0.7,0.15000004702881362,5773.758633166143,7893.432688351141,4208.940285995633,310.09902189519914,3374.3933804603093
minimal_hod,joint,full,0.23157894736842105,0.15,0.5,0.15000004702881362,5812.673825235458,6231.511252535964,4209.100000489426,292.32018479723433,1730.0910672493037
minimal_hod,joint,full,0.23157894736842105,0.15,0.9,0.15000004702881362,6017.700745226903,8425.206967993297,4209.195617207397,318.17042915416965,3897.8409216317314
minimal_hod,joint,full,0.23157894736842105,0.15,1.1,0.15000004702881362,6299.50683817367,8291.598918137062,4209.361834868444,321.083716660446,3761.1533666081727
minimal_hod,joint,full,0.23157894736842105,0.15,1.3,0.15000004702881362,6592.169325594269,7913.545499381219,4209.460907239838,321.16167419203964,3382.9229179493414
minimal_hod,wp,diagonal,0.8210526315789474,0.02,0.5,0.019999943565423665,353.3862443935345,533.7179981250782,52.48118748048155,8.484936396320535,472.7518742482759
minimal_hod,wp,diagonal,0.8210526315789474,0.02,0.7,0.019999943565423665,353.3945526628479,460.3831277191796,52.48082215098968,8.771668471797936,399.1306370963918
minimal_hod,wp,diagonal,0.8210526315789474,0.02,0.9,0.019999943565423665,353.4003718225057,430.78984135791757,52.48018869454904,9.054190407585812,369.25546225578256
minimal_hod,wp,diagonal,0.8210526315789474,0.02,1.3,0.019999943565423665,353.434889878933,426.18673274433723,52.48602359970516,9.447369221501598,364.2533399231303
minimal_hod,wp,diagonal,0.8210526315789474,0.02,1.1,0.019999943565423665,353.4479403782526,423.3077034026024,52.485959037652876,9.274372210572622,361.5473721543767
minimal_hod,wp,diagonal,0.8210526315789474,0.04,0.5,0.03999988713084733,1131.5232617535244,433.6972754366071,151.7283143631526,18.52624813344246,263.44271294001186
minimal_hod,wp,diagonal,0.8210526315789474,0.04,0.7,0.03999988713084733,1131.5810942576172,326.218297399946,151.72928620353431,19.444043890477104,155.0449673059344
minimal_hod,wp,diagonal,0.8210526315789474,0.04,0.9,0.03999988713084733,1131.790461551257,289.3515533438637,151.73952401812588,20.136168931380656,117.47586039435703
